Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
9	5800008	5806521	VIT_09s0002g05990
8	9266409	9270604	VIT_08s0058g00330
15	8604920	8605314	VIT_15s0107g00360
9	5629079	5633580	VIT_09s0002g05830
9	323916	324504	VIT_09s0002g00410
3	6859815	6860409	VIT_03s0091g00490
13	3093508	3093868	VIT_13s0019g01600
13	2725804	2727559	VIT_13s0019g00940
14	22839619	22840360	VIT_14s0083g00700
5	22055230	22055925	VIT_05s0102g00190
1	496535	498672	VIT_01s0011g00510
Un	11619455	11620804	VIT_00s0202g00030
15	3393823	3403288	VIT_15s0024g01640
Un	1329471	1334628	VIT_00s0125g00100
2	9198880	9205984	VIT_02s0012g02280
14	4731622	4735517	VIT_14s0030g00630
8	10883503	10887354	VIT_08s0058g01430
7	15372179	15378097	VIT_07s0129g00100
19	3614138	3620266	VIT_19s0014g03470
14	23416450	23425111	VIT_14s0083g01090
14	3196308	3197040	VIT_14s0128g00640
7	3011892	3018794	VIT_07s0005g00240
4	23794890	23796653	VIT_04s0044g02010
4	20988399	20996526	VIT_04s0044g00300
16	4915538	4917247	VIT_16s0013g00140
4	4803786	4813895	VIT_04s0008g05330
8	179423	209286	VIT_08s0056g00080
Un	35102265	35103532	VIT_00s0760g00010
18_random	3944684	3955086	VIT_18s0001g04690
3	9385888	9388788	VIT_03s0088g01140
19	1370742	1373592	VIT_19s0014g01270
10	4955669	5013956	VIT_10s0003g02880
2	2249111	2250024	VIT_02s0025g02590
14	3405630	3408222	VIT_14s0128g00870
19	5361143	5366609	VIT_19s0014g05040
10	14272096	14274850	VIT_10s0042g00900
8	5882877	5886604	VIT_08s0032g01220
17	8144977	8155954	VIT_17s0000g07280
14	3182821	3183635	VIT_14s0128g00610
8	18315586	18325136	VIT_08s0007g04370
8	20043863	20045963	VIT_08s0007g06260
12	5074039	5075365	VIT_12s0059g00170
9	4015447	4015807	VIT_09s0002g04390
5	23827345	23863204	VIT_05s0094g00500
Un	6111772	6137469	VIT_00s0169g00050
8	1937113	1940026	VIT_08s0056g01230
10	12580976	12582008	VIT_10s0092g00740
17	2514165	2519530	VIT_17s0000g02710
15	19636988	19643596	VIT_15s0046g02930
6	2620778	2629824	VIT_06s0004g02180
5	4453502	4455917	VIT_05s0020g02720
10	863019	866097	VIT_10s0116g01600
14	18906286	18918773	VIT_14s0006g02020
18	22088391	22089006	VIT_18s0075g00560
18	21175833	21176300	VIT_18s0075g00040
19	8205248	8211487	VIT_19s0015g00200
14	30055900	30065082	VIT_14s0108g01520
4	21924540	21925312	VIT_04s0044g00790
Un	10176569	10176978	VIT_00s0192g00120
12	21232363	21235815	VIT_12s0035g01400
11	1215086	1216651	VIT_11s0016g01530
17	3141621	3143615	VIT_17s0000g03260
3	7673917	7675754	VIT_03s0091g01060
4	23068733	23069708	VIT_04s0044g01500
1	11821377	11826136	VIT_01s0026g02340
15	15233599	15237733	VIT_15s0048g01110
14	25733976	25736943	VIT_14s0068g02140
12	5441254	5442729	VIT_12s0059g00590
18	11909699	11914734	VIT_18s0001g13910
6	16322877	16325979	VIT_06s0009g03150
17	7690973	7692369	VIT_17s0000g06990
12	21189224	21194840	VIT_12s0035g01330
7	1372030	1381169	VIT_07s0104g00060
Un	3134020	3135488	VIT_00s0144g00100
9	7273604	7281352	VIT_09s0002g07280
18_random	5014037	5014096	VIT_18s0001g06660
2	3236091	3236911	VIT_02s0025g03730
3	9739486	9741576	VIT_03s0097g00030
7	17958339	17960800	VIT_07s0031g01840
1	20699748	20702024	VIT_01s0010g03360
18	13833441	13835421	VIT_18s0001g15680
14	19613189	19614222	VIT_14s0006g02270
15	18924997	18935674	VIT_15s0046g02130
14	26059393	26065639	VIT_14s0171g00210
9	4309097	4316264	VIT_09s0002g04770
19	2974614	2980210	VIT_19s0014g02870
16	13169033	13189943	VIT_16s0022g01240
2	7559107	7561604	VIT_02s0012g01400
12	6692760	6696940	VIT_12s0059g01820
9	5169125	5176189	VIT_09s0002g05410
4	2294136	2295159	VIT_04s0008g02760
Un	35917311	35919708	VIT_00s0835g00010
8	19830580	19833603	VIT_08s0007g05940
17	5354564	5357443	VIT_17s0000g04920
17	13671504	13671863	VIT_17s0119g00180
8	4702450	4705958	VIT_08s0032g00930
2	2924152	2929057	VIT_02s0025g03420
7	5817249	5817542	VIT_07s0005g03000
14	1016598	1018446	VIT_14s0060g01270
10	5642382	5647808	VIT_10s0003g03410
18	2149563	2165796	VIT_18s0001g01580
12	14752218	14778740	VIT_12s0055g01130
5	22438854	22453266	VIT_05s0102g00500
4	17151865	17154674	VIT_04s0023g00770
5	9621838	9626257	VIT_05s0049g02080
14	25980939	25981880	VIT_14s0171g00100
5	1370592	1377054	VIT_05s0077g01740
6	3983937	4000554	VIT_06s0004g03220
6	5375905	5383629	VIT_06s0004g04410
16	2625988	2627196	VIT_16s0039g02430
17	9961038	9964088	VIT_17s0000g08690
8	17340711	17342561	VIT_08s0007g03380
7	15895858	15897909	VIT_07s0129g00660
8	13315169	13317366	VIT_08s0040g02210
18	26047731	26076991	VIT_18s0041g01360
9	18613822	18618978	VIT_09s0018g01500
2	291046	291759	VIT_02s0025g00140
16	20666527	20679236	VIT_16s0098g00290
12	6863293	6864214	VIT_12s0059g02060
Un	38917255	38918123	VIT_00s1380g00010
11	1306322	1310066	VIT_11s0016g01620
14	27241544	27243752	VIT_14s0066g00780
19	813603	824313	VIT_19s0014g00810
2	5400661	5409395	VIT_02s0488g00020
18	7151141	7152985	VIT_18s0001g08690
19	2734517	2743975	VIT_19s0014g02670
16_random	322578	322945	VIT_16s0039g00640
3	10689814	10691163	VIT_03s0097g00450
17	6888734	6889740	VIT_17s0000g06360
3	14771759	14773578	VIT_03s0017g00380
1	4174779	4176173	VIT_01s0011g04640
9	70563	95326	VIT_09s0002g00100
18	2802829	2805078	VIT_18s0001g02540
15	9187295	9206979	VIT_15s0021g00040
17	9690038	9700367	VIT_17s0000g08470
19	5329128	5331078	VIT_19s0014g05000
18	28851987	28852224	VIT_18s0089g00980
Un	11292478	11300159	VIT_00s0199g00260
5	602873	610551	VIT_05s0077g00800
19	5755770	5760048	VIT_19s0014g05380
12	6406227	6418924	VIT_12s0059g01470
9	7777208	7796453	VIT_09s0002g07610
7	18907217	18912871	VIT_07s0031g02590
13	221035	225885	VIT_13s0067g00330
Un	34446541	34447555	VIT_00s0704g00010
11	2279785	2283433	VIT_11s0016g02830
4	1658956	1667239	VIT_04s0008g02040
Un	22036291	22055893	VIT_00s0299g00030
17	16741964	16749089	VIT_17s0053g00980
4	4818299	4819293	VIT_04s0008g05350
17	11538507	11549899	VIT_17s0000g09720
15	13947966	13959580	VIT_15s0048g00010
11	5221791	5230986	VIT_11s0016g05730
5	2065185	2066133	VIT_05s0020g00180
2	5062791	5074217	VIT_02s0154g00240
12	3294539	3297128	VIT_12s0028g02540
13	16184802	16187800	VIT_13s0047g00340
9	3744463	3748552	VIT_09s0002g04070
18_random	2829045	2829524	VIT_18s0001g02580
7	4560128	4563111	VIT_07s0005g02170
18	5163243	5164681	VIT_18s0001g06940
9	21401978	21408323	VIT_09s0054g00610
13	22350276	22352457	VIT_13s0064g00610
5	23192258	23192981	VIT_05s0102g01090
18	12841218	12848820	VIT_18s0001g14780
18	4425461	4426613	VIT_18s0001g05670
10	17560267	17576560	VIT_10s0071g00950
7	6288459	6290115	VIT_07s0005g03430
13	941452	948351	VIT_13s0067g01690
19	5931656	5931942	VIT_19s0177g00110
18	21198143	21199088	VIT_18s0075g00060
4	9772423	9772785	VIT_04s0069g01130
16	19447503	19454978	VIT_16s0050g02480
5	1814628	1837355	VIT_05s0077g02310
15	15252829	15259012	VIT_15s0048g01140
11	15046677	15047735	VIT_11s0065g00990
2	3593991	3614597	VIT_02s0025g04090
5	9220921	9222586	VIT_05s0049g01780
6	3803463	3804769	VIT_06s0004g03050
5	3685011	3690592	VIT_05s0020g01970
2	17728505	17733205	VIT_02s0087g00400
2	3928473	3929345	VIT_02s0025g04460
1	4845051	4848344	VIT_01s0011g05200
12	19256260	19258057	VIT_12s0035g00110
3	1303910	1304387	VIT_03s0038g01870
4	19034554	19035405	VIT_04s0023g02480
18_random	1790603	1791004	VIT_18s0001g01170
16	6368533	6436142	VIT_16s0013g00860
Un	41097578	41098626	VIT_00s2117g00010
12	5533259	5534987	VIT_12s0059g00710
12	18696832	18697588	VIT_12s0034g02290
14	25686541	25690426	VIT_14s0068g02070
Un	18315283	18318622	VIT_00s0258g00100
4	9387924	9388595	VIT_04s0069g00940
4	21237941	21239744	VIT_04s0044g00470
3	3032212	3033460	VIT_03s0038g04190
3	858886	859170	VIT_03s0038g01080
6	19169404	19173997	VIT_06s0061g01330
4	1515227	1524527	VIT_04s0008g01890
19	8734441	8744182	VIT_19s0015g00670
13_random	2093144	2095471	VIT_13s0067g03740
4	17094959	17107450	VIT_04s0023g00730
18	12533609	12536412	VIT_18s0001g14530
11	17162761	17201645	VIT_11s0052g00140
4	18617371	18620228	VIT_04s0023g02130
3	3158675	3164971	VIT_03s0038g04350
19	7910874	7917664	VIT_19s0090g01870
19	21874071	21876272	VIT_19s0027g01630
13	2669818	2678939	VIT_13s0019g00810
16	8271851	8311315	VIT_16s0013g01520
8	1298994	1300398	VIT_08s0056g00830
Un	19275939	19280403	VIT_00s0265g00170
9	841081	844315	VIT_09s0002g01100
16	5068577	5070069	VIT_16s0013g00180
19	11205036	11208482	VIT_19s0015g02040
12	775443	784939	VIT_12s0028g00130
3	3389369	3396955	VIT_03s0038g04610
2	8466566	8483363	VIT_02s0012g01930
16	18255109	18256261	VIT_16s0050g01380
9	854287	866960	VIT_09s0002g01120
18	10940330	10945165	VIT_18s0001g12840
15	18713020	18728638	VIT_15s0046g01890
18	67803	70298	VIT_18s0122g00040
7	15956381	15958108	VIT_07s0129g00710
13	14117602	14119399	VIT_13s0073g00380
5	24277026	24282144	VIT_05s0094g00950
19	33097	34299	VIT_19s0014g00030
Un	7437308	7440805	VIT_00s0179g00180
12	4858054	4869707	VIT_12s0028g03990
5	2565329	2574145	VIT_05s0020g00700
Un	38804777	38805101	VIT_00s1359g00020
4	6448272	6495748	VIT_04s0008g06530
12	16902884	16908449	VIT_12s0034g01050
13	2445009	2446291	VIT_13s0019g00370
13	3187331	3190283	VIT_13s0019g01820
19	17406699	17408183	VIT_19s0093g00440
7	5457683	5458417	VIT_07s0005g02910
11	5969858	5973038	VIT_11s0118g00320
15	12508492	12510993	VIT_15s0021g01830
13_random	1003793	1005554	VIT_13s0067g01830
15	14770457	14771764	VIT_15s0048g00640
7	17816218	17819225	VIT_07s0031g01730
17	3106724	3109413	VIT_17s0000g03220
14	115059	121638	VIT_14s0060g00100
9	17476187	17479059	VIT_09s0018g00880
3	256915	260014	VIT_03s0038g00280
15	15241121	15243463	VIT_15s0048g01120
15	5207877	5214681	VIT_15s0045g00360
15	7844862	7845266	VIT_15s0107g00060
15	17129316	17134097	VIT_15s0046g00040
18	10346378	10348852	VIT_18s0001g12170
18	20616920	20617823	VIT_18s0072g01070
5	2344276	2348113	VIT_05s0020g00430
16	19636978	19641119	VIT_16s0050g02620
11	5375945	5377407	VIT_11s0016g05850
14	5288775	5290566	VIT_14s0030g00970
12	4982862	4988336	VIT_12s0059g00060
19	18431745	18445068	VIT_19s0027g00130
Un	37943045	37944722	VIT_00s1212g00020
9	2000658	2001081	VIT_09s0002g02180
4	10683930	10694055	VIT_04s0079g00290
9	6548074	6549227	VIT_09s0002g06620
5	2184070	2194252	VIT_05s0020g00360
11	4194812	4202353	VIT_11s0016g04880
Un	34168471	34169117	VIT_00s0684g00020
19	7199188	7201535	VIT_19s0090g01120
Un	23594674	23595037	VIT_00s0327g00010
10	528913	529564	VIT_10s0116g01090
19	4210021	4210833	VIT_19s0014g03980
12	8762671	8763158	VIT_12s0057g00030
3	4667874	4668867	VIT_03s0063g01170
18	23508689	23509863	VIT_18s0117g00270
12	19195348	19196543	VIT_12s0035g00070
4	6907822	6914630	VIT_04s0008g06880
10	14217285	14217506	VIT_10s0042g00850
Un	15424648	15426453	VIT_00s0229g00070
18	28940615	28948437	VIT_18s0089g01070
Un	42527208	42528778	VIT_00s2623g00010
4	16985685	16993490	VIT_04s0023g00670
4	415618	417970	VIT_04s0008g00480
16	18530207	18532284	VIT_16s0050g01620
9	3925678	3932374	VIT_09s0002g04290
1	3909169	3915670	VIT_01s0011g04340
14	27846223	27848780	VIT_14s0066g01440
15	13327995	13329215	VIT_15s0021g02330
15	12431308	12433639	VIT_15s0021g01780
19	8924141	8925004	VIT_19s0015g00800
Un	18396747	18399665	VIT_00s0259g00060
14	27785120	27788617	VIT_14s0066g01370
17	12527607	12530299	VIT_17s0000g10270
16	13549389	13582228	VIT_16s0022g01510
1	760376	763140	VIT_01s0011g00890
16	511725	513284	VIT_16s0039g00930
3	17161781	17167061	VIT_03s0017g01280
6	593285	594067	VIT_06s0004g00440
13_random	1937452	1943453	VIT_13s0067g03460
8	1408200	1427436	VIT_08s0056g00910
Un	8312399	8314991	VIT_00s0183g00250
4	7106673	7110300	VIT_04s0008g07020
8	10330209	10332083	VIT_08s0058g00970
18	5807852	5821070	VIT_18s0001g07550
1	1798112	1814868	VIT_01s0011g02120
15	17628420	17631817	VIT_15s0046g00700
7	4953963	4957992	VIT_07s0005g02640
16	19697405	19699942	VIT_16s0050g02680
14	29282506	29288980	VIT_14s0108g00510
17	8095032	8103824	VIT_17s0000g07240
17	2094445	2099288	VIT_17s0000g02380
12	4596611	4597451	VIT_12s0028g03710
15	7436127	7436565	VIT_15s0045g01450
9	14071360	14071715	VIT_09s0070g00630
15	16422238	16423593	VIT_15s0048g02220
14	4413201	4414802	VIT_14s0030g00510
5	7586216	7592322	VIT_05s0049g00530
16	12514323	12516145	VIT_16s0022g00950
6	12801724	12803398	VIT_06s0009g01190
3	1929876	1930536	VIT_03s0038g02750
6	6581113	6587787	VIT_06s0004g05860
14	24127197	24145861	VIT_14s0068g00400
9	3414759	3424840	VIT_09s0002g03740
8	20200954	20201639	VIT_08s0007g06430
9_random	213258	213581	VIT_09s0002g00290
2	1834524	1836964	VIT_02s0025g02040
6	8312119	8312955	VIT_06s0004g07540
9	15261892	15262137	VIT_09s0018g00090
5	6536583	6537443	VIT_05s0020g04680
3	1964880	1966763	VIT_03s0038g02810
10	249329	250499	VIT_10s0116g00550
12	21888535	21890625	VIT_12s0035g01760
1	2075903	2076512	VIT_01s0011g02290
3	1482091	1483271	VIT_03s0038g02150
13	13621771	13659063	VIT_13s0073g00250
11	2736164	2743298	VIT_11s0016g03360
8	19062236	19063689	VIT_08s0007g05130
1	21076452	21078724	VIT_01s0010g03720
3	5445790	5454060	VIT_03s0063g02190
18	3098022	3101041	VIT_18s0001g03080
2	15384244	15387176	VIT_02s0033g00750
8	10136664	10137756	VIT_08s0058g00860
8	16675055	16681296	VIT_08s0007g02580
Un	32584993	32588039	VIT_00s0595g00010
17	6469316	6470189	VIT_17s0000g05930
16	16385884	16397049	VIT_16s0100g00900
15	16159217	16161694	VIT_15s0048g02020
5	2095773	2096517	VIT_05s0020g00220
14	24814759	24818030	VIT_14s0068g01040
Un	24748934	24752897	VIT_00s0346g00070
14	27415698	27419367	VIT_14s0066g00970
1	7237322	7240382	VIT_01s0137g00720
19	17668309	17700359	VIT_19s0093g00560
8	19109723	19113747	VIT_08s0007g05190
19	7653783	7655299	VIT_19s0090g01560
16	212453	217395	VIT_16s0039g00430
4	21301303	21301881	VIT_04s0044g00500
15	14999607	15021165	VIT_15s0048g00850
15	18583901	18583984	VIT_15s0046g01730
13	5171641	5176416	VIT_13s0019g03940
7	1634583	1638974	VIT_07s0104g00380
18	390030	390496	VIT_18s0122g00440
7	16480730	16484230	VIT_07s0031g00260
18_random	2383437	2385334	VIT_18s0001g01880
11	18708857	18714197	VIT_11s0052g01030
8	15836686	15865881	VIT_08s0007g01780
10	6393805	6398173	VIT_10s0003g03760
8	16812616	16814652	VIT_08s0007g02730
18	8424038	8427488	VIT_18s0001g10080
5	1282326	1288085	VIT_05s0077g01620
2	1606441	1609494	VIT_02s0025g01670
15	18141831	18143881	VIT_15s0046g01070
1	22356991	22364888	VIT_01s0146g00510
9	21957153	21975876	VIT_09s0054g01110
13	6924922	6931532	VIT_13s0019g05150
4	2957106	2971777	VIT_04s0008g03610
1	6282856	6285766	VIT_01s0011g06480
6	18538106	18540502	VIT_06s0061g00950
19	5563075	5598852	VIT_19s0014g05230
11	17640339	17648021	VIT_11s0052g00330
15	13412183	13415839	VIT_15s0021g02410
4	9035692	9036827	VIT_04s0069g00880
Un	26189627	26190327	VIT_00s0372g00030
4	18738288	18740034	VIT_04s0023g02250
13	21804003	21821531	VIT_13s0064g00290
14	28805445	28808663	VIT_14s0066g02660
9	141171	143704	VIT_09s0002g00140
16	2958903	2962111	VIT_16s0039g02630
19	4272270	4272875	VIT_19s0014g04030
16	2162926	2163607	VIT_16s0039g02100
19	3167258	3183140	VIT_19s0014g03020
4	2524690	2527963	VIT_04s0008g03040
16	18632636	18635853	VIT_16s0050g01700
Un	12349750	12353710	VIT_00s0207g00020
17_random	621678	673115	VIT_17s0000g00930
5	22424480	22433155	VIT_05s0102g00480
19	23626226	23627770	VIT_19s0085g01030
Un	26910295	26913418	VIT_00s0385g00020
Un	11260831	11269998	VIT_00s0199g00240
5	21243777	21245925	VIT_05s0124g00670
9	6420606	6422270	VIT_09s0002g06470
16	13353180	13353745	VIT_16s0022g01360
11	17416835	17417210	VIT_11s0052g00250
8	10751380	10767589	VIT_08s0058g01300
4	2071153	2073104	VIT_04s0008g02510
18	11933806	11936210	VIT_18s0001g13940
12	13190026	13196395	VIT_12s0055g00390
Un	34203613	34204150	VIT_00s0685g00020
Un	14706826	14709999	VIT_00s0225g00160
8	10408287	10408421	VIT_08s0058g01060
1	10409168	10411107	VIT_01s0026g01440
12	18115243	18128371	VIT_12s0034g01900
Un	39116473	39117727	VIT_00s1428g00010
17	6162016	6166458	VIT_17s0000g05680
12	13624743	13636163	VIT_12s0055g00580
8	13062999	13064013	VIT_08s0040g01970
5	4745806	4746810	VIT_05s0020g03010
4	6578496	6598764	VIT_04s0008g06610
14	20464218	20465903	VIT_14s0006g02610
17	8563393	8566067	VIT_17s0000g07580
10	4128104	4129933	VIT_10s0003g02300
2	9461852	9462500	VIT_02s0012g02490
16	19388199	19394324	VIT_16s0050g02450
12	8846312	8846596	VIT_12s0057g00190
12	19873705	19884546	VIT_12s0035g00530
13	2005652	2009957	VIT_13s0067g03600
6	1440120	1443717	VIT_06s0004g01250
4	19822137	19827530	VIT_04s0023g03280
13	1612663	1617531	VIT_13s0067g03020
7	20754600	20826921	VIT_07s0130g00420
7	15369750	15370242	VIT_07s0129g00090
19	17895236	17903778	VIT_19s0093g00640
11	3427205	3452429	VIT_11s0016g04180
Un	37195114	37197921	VIT_00s0965g00010
15	19176232	19182610	VIT_15s0046g02390
3	1025473	1040019	VIT_03s0038g01490
2	1667929	1673278	VIT_02s0025g01760
10	14216111	14217284	VIT_10s0042g00840
13	22507982	22515439	VIT_13s0064g00750
6	7171150	7175802	VIT_06s0004g06440
Un	1966696	1966854	VIT_00s0125g00300
8	10836523	10837187	VIT_08s0058g01380
16	12087360	12089501	VIT_16s0022g00690
14	3515345	3517100	VIT_14s0128g00970
13	1360813	1362773	VIT_13s0067g02500
4	18430782	18437696	VIT_04s0023g01860
1	1819882	1823470	VIT_01s0011g02130
8	20515947	20516989	VIT_08s0007g06860
7	4655106	4661709	VIT_07s0005g02280
Un	19813066	19814135	VIT_00s0269g00110
9	2108411	2110849	VIT_09s0002g02300
3	11315079	11316802	VIT_03s0132g00010
2	18248756	18251419	VIT_02s0087g00710
2	231634	234069	VIT_02s0025g00060
14	26355901	26357181	VIT_14s0219g00050
6	16116672	16117560	VIT_06s0009g03070
4	2193005	2196242	VIT_04s0008g02660
2	2727658	2744219	VIT_02s0025g03210
12	20407974	20411275	VIT_12s0035g00830
16	17903230	17909984	VIT_16s0050g00970
4	19467990	19469504	VIT_04s0023g02880
16	18944487	18946301	VIT_16s0050g01980
7	10431218	10433982	VIT_07s0005g05950
4	15488571	15496019	VIT_04s0043g00940
14	28353929	28355637	VIT_14s0066g02100
18	4338743	4341637	VIT_18s0001g05530
8	5622898	5678468	VIT_08s0032g01140
17	1307825	1308955	VIT_17s0000g01760
12	4763382	4765133	VIT_12s0028g03930
17	11202155	11202640	VIT_17s0000g09540
3	10701289	10703308	VIT_03s0097g00460
3	8329921	8335645	VIT_03s0088g00310
18	6486587	6491915	VIT_18s0001g08030
9	16428267	16471503	VIT_09s0018g00400
1	3727811	3730410	VIT_01s0011g04080
13	21617253	21623770	VIT_13s0064g00160
14	4829884	4833159	VIT_14s0030g00690
17	7506166	7507641	VIT_17s0000g06830
18_random	3380518	3382385	VIT_18s0001g03550
6	15672838	15673275	VIT_06s0009g02820
9_random	422484	424036	VIT_09s0002g00600
7	2086300	2087833	VIT_07s0104g00980
10	1561823	1570135	VIT_10s0003g00270
11	1044450	1045851	VIT_11s0016g01300
19	8672303	8673863	VIT_19s0015g00590
4	16567578	16579539	VIT_04s0023g00370
4	22767660	22771992	VIT_04s0044g01270
12	3988078	3990277	VIT_12s0028g03240
18	932504	935155	VIT_18s0122g01330
18	11126023	11129236	VIT_18s0001g13010
18	8334491	8336451	VIT_18s0001g09940
4	19416812	19418297	VIT_04s0023g02840
2	424658	425223	VIT_02s0025g00300
7	16134715	16135491	VIT_07s0129g01000
9	17552147	17552642	VIT_09s0018g00950
Un	39969685	39971530	VIT_00s1643g00010
6	5152464	5153142	VIT_06s0004g04180
4	22283991	22287965	VIT_04s0044g00990
18	13662369	13665624	VIT_18s0001g15530
14	25073087	25074541	VIT_14s0068g01360
14	21283363	21283782	VIT_14s0006g02980
14	6372716	6376246	VIT_14s0030g01600
19	6956978	6958582	VIT_19s0090g00900
9	5716073	5716365	VIT_09s0002g05890
7	17557935	17566078	VIT_07s0031g01480
16	11494876	11495705	VIT_16s0022g00470
16	5345035	5346426	VIT_16s0013g00310
5	1384654	1388778	VIT_05s0077g01760
17	3695085	3714845	VIT_17s0000g03760
12	19773845	19774192	VIT_12s0035g00460
11	683154	685552	VIT_11s0016g00710
7	18172576	18184053	VIT_07s0031g02030
14	29985955	29991984	VIT_14s0108g01410
11	17655373	17658529	VIT_11s0052g00340
11	4382054	4385678	VIT_11s0016g05100
Un	17889749	17890221	VIT_00s0254g00010
3	8744237	8744878	VIT_03s0088g00550
9	19665642	19665837	VIT_09s0018g02020
10	750430	773019	VIT_10s0116g01480
4	18146217	18148889	VIT_04s0023g01620
14	9492110	9493567	VIT_14s0036g00080
2	7525750	7526259	VIT_02s0012g01370
1	21487726	21488703	VIT_01s0010g03950
7	14862953	14867460	VIT_07s0191g00120
11	19004251	19005363	VIT_11s0052g01300
Un	18481702	18482767	VIT_00s0259g00130
Un	38797041	38797252	VIT_00s1359g00010
5	615255	645423	VIT_05s0077g00820
11	2199317	2201227	VIT_11s0016g02790
6	394915	397655	VIT_06s0004g00300
18	393158	395443	VIT_18s0122g00450
1	7552407	7562349	VIT_01s0127g00210
12	16375557	16417330	VIT_12s0034g00660
10	10214296	10215160	VIT_10s0003g05530
13	12440458	12440586	VIT_13s0101g00450
5	7580634	7581349	VIT_05s0049g00520
19	6054078	6059965	VIT_19s0177g00220
Un	15963944	15979175	VIT_00s0233g00020
14	8050576	8053993	VIT_14s0081g00330
15	10328981	10349851	VIT_15s0021g00610
13_random	2746921	2750245	VIT_13s0019g01010
18	11630815	11630958	VIT_18s0001g13620
Un	27927753	27931006	VIT_00s0409g00010
9	6470899	6476134	VIT_09s0002g06540
13	2138205	2152137	VIT_13s0067g03810
4	295143	300469	VIT_04s0008g00370
19	7740415	7752280	VIT_19s0090g01700
4	19189535	19194113	VIT_04s0023g02650
4	20022053	20022628	VIT_04s0023g03460
19	7134473	7135516	VIT_19s0090g01040
14	25807450	25810445	VIT_14s0068g02240
5	6397296	6408223	VIT_05s0020g04590
12	3197727	3199658	VIT_12s0028g02480
18	11199295	11200843	VIT_18s0001g13140
8	18158126	18166238	VIT_08s0007g04170
3	1980660	2017904	VIT_03s0038g02830
1	1633680	1634194	VIT_01s0011g01880
Un	18364273	18365055	VIT_00s0259g00010
1	5559978	5567199	VIT_01s0011g05790
14	26481825	26483236	VIT_14s0219g00230
19	21349044	21351449	VIT_19s0027g01340
Un	27391644	27392033	VIT_00s0397g00030
1	7691531	7692677	VIT_01s0127g00330
7	1033694	1034321	VIT_07s0151g00670
Un	35821494	35821965	VIT_00s0827g00040
18	1204364	1214937	VIT_18s0001g00180
2	7042619	7043585	VIT_02s0012g01060
9	14754973	14772109	VIT_09s0070g00940
12	18404228	18440035	VIT_12s0034g02140
10	13123742	13128460	VIT_10s0042g00290
7	19646844	19649241	VIT_07s0031g02950
7	14810189	14811828	VIT_07s0191g00050
9	13695703	13699298	VIT_09s0070g00480
Un	35183642	35184552	VIT_00s0768g00020
Un	20415234	20417520	VIT_00s0274g00070
18	8151295	8153700	VIT_18s0001g09730
18	14041566	14042290	VIT_18s0166g00110
7	19458954	19493291	VIT_07s0031g02850
14	10931959	10935050	VIT_14s0036g00730
15	3286410	3293845	VIT_15s0024g01620
8	12656804	12656983	VIT_08s0040g01490
12	18765338	18766226	VIT_12s0034g02320
4	22411363	22436682	VIT_04s0044g01090
8	18237734	18264946	VIT_08s0007g04290
4	18962800	18964518	VIT_04s0023g02410
19	19618651	19619493	VIT_19s0027g00570
12	18474893	18486492	VIT_12s0034g02160
2	2347356	2348758	VIT_02s0025g02710
19	9421066	9425262	VIT_19s0015g01260
19	9101591	9112651	VIT_19s0015g01020
19	15810821	15811240	VIT_19s0140g00240
Un	26211204	26212047	VIT_00s0372g00060
15	18408353	18411386	VIT_15s0046g01430
Un	39633108	39633282	VIT_00s1566g00010
14	29934812	29936764	VIT_14s0108g01320
Un	41309753	41311868	VIT_00s2205g00010
4	1977063	1977423	VIT_04s0008g02400
18	8883524	8885782	VIT_18s0001g10580
13	5537565	5543145	VIT_13s0019g04200
16	6844103	6844791	VIT_16s0013g01040
7	4336482	4338595	VIT_07s0005g01880
3	17380345	17383195	VIT_03s0017g01370
2	6406912	6414734	VIT_02s0012g00550
8	7313015	7340090	VIT_08s0105g00260
Un	29801784	29810355	VIT_00s0467g00030
7	12521329	12526642	VIT_07s0095g00140
5	21582306	21584412	VIT_05s0165g00140
8	11632988	11633534	VIT_08s0040g00690
14	2019722	2027984	VIT_14s0060g02400
13	12223289	12223717	VIT_13s0101g00400
Un	12535198	12540108	VIT_00s0207g00240
Un	5169071	5172177	VIT_00s0160g00150
9	7657421	7657591	VIT_09s0002g07550
12	16762803	16770047	VIT_12s0034g00950
11	5423943	5427320	VIT_11s0016g05860
7	17794621	17797164	VIT_07s0031g01710
11	1288733	1289595	VIT_11s0016g01590
2	886305	886815	VIT_02s0025g00920
12	17728045	17729048	VIT_12s0034g01650
5	22578399	22579963	VIT_05s0102g00680
4	18625081	18629045	VIT_04s0023g02150
3	908817	909399	VIT_03s0038g01270
2	8319488	8330101	VIT_02s0012g01860
16	10997409	10997839	VIT_16s0022g00180
15	15997583	16002415	VIT_15s0048g01860
3	2630822	2638914	VIT_03s0038g03670
13_random	2694202	2719977	VIT_13s0019g00880
1	20268010	20268232	VIT_01s0010g03150
2	486537	487336	VIT_02s0025g00380
10	1500980	1505621	VIT_10s0003g00240
14	2600592	2606971	VIT_14s0128g00020
Un	32913911	32918245	VIT_00s0612g00020
18	12403268	12404144	VIT_18s0001g14420
5	9346454	9353208	VIT_05s0049g01880
18	24119019	24122027	VIT_18s0117g00590
6	8848613	8856971	VIT_06s0004g08100
18	9614158	9619675	VIT_18s0001g11300
